'x_c1', 'y_c1', 'z_c1', 'x_c2', 'y_c2', 'z_c2', 'vx_c1', 'vy_c1', 'vz_c1', 'vx_c2', 'vy_c2', 'vz_c2'
-2.137885462490331 -2.62347448722889 -9.161500939323521e-07 -1.6796909916042742 -1.9079661882583883 -9.161500939323521e-07 0.13033713355584808 -0.09212221796328278 -5.1500645500044876e-08 0.13534632701814867 -0.1394664744169236 3.18438075191087e-08 
-2.048226751202957 -2.684102777476566 -9.495617914493543e-07 -1.5862064607005495 -2.0004097518102912 -9.495617914493543e-07 0.13436299160315535 -0.08684870254144035 -4.7076167093195516e-08 0.14057772868186702 -0.1334315744803104 2.504083843907181e-08 
-1.955858862267242 -2.741101006197568 -9.798360066872316e-07 -1.4893435465704785 -2.0887013943964003 -9.798360066872316e-07 0.13833619474627362 -0.08140526674980586 -4.223502316773966e-08 0.1453179710167688 -0.1272134567153396 1.787361036337619e-08 
-1.8608165537489327 -2.794355042976333 -1.0066857540777098e-06 -1.3894401181721938 -2.1727274928967995 -1.0066857540777098e-06 0.1422593892199884 -0.0757948062869827 -3.6963739889733856e-08 0.14955241348957207 -0.12084312709658396 1.0349914473892002e-08 
-1.76313288252684 -2.8437527231507027 -1.029815901134081e-06 -1.286842803641383 -2.2523954661098062 -1.029815901134081e-06 0.14613495003614596 -0.07002018982311409 -3.125168801475893e-08 0.15326983653453033 -0.11435166513640597 2.4799864302628745e-09 
-1.6628393800381325 -2.889183743908384 -1.0489249364561845e-06 -1.1819046922392487 -2.3276337508008056 -1.0489249364561845e-06 0.14996502134942233 -0.06408399847472182 -2.5090526817321083e-08 0.15646235305521305 -0.10777001389636238 -5.724418644699091e-09 
-1.5599661633789978 -2.9305393699175335 -1.0637061782363157e-06 -1.0749831633616898 -2.39839165176207 -1.0637061782363157e-06 0.15375167160862385 -0.05798822689761858 -1.8473099792380457e-08 0.15912511697370701 -0.10112881854195202 -1.4251497496769168e-08 
-1.4545418945441362 -2.967711928527279 -1.0738480377744971e-06 -0.9664379892570042 -2.464639099755351 -1.0738480377744971e-06 0.15749719151973776 -0.05173396384885098 -1.1391744517444614e-08 0.1612558025691805 -0.09445831632262482 -2.309143980822743e-08 
-1.346593480856856 -3.0005940860956604 -1.0790329326036482e-06 -0.8566298748154026 -2.5263663535173047 -1.0790329326036482e-06 0.16120456602652547 -0.045321067434896584 -3.8359909053132135e-09 0.16285383050234506 -0.0877882825593894 -3.223905184575916e-08 
-1.236145385141416 -3.0290779047874303 -1.0789344203701135e-06 -0.7459196158078611 -2.58358368683081 -1.0789344203701135e-06 0.16487816340666134 -0.038747841857197415 4.2104035315622465e-09 0.16391930933185975 -0.08114804299135503 -4.169700390592508e-08 
-1.1232183767473318 -3.053053679383213 -1.0732120653429035e-06 -0.6346680850073548 -2.6363211118062133 -1.0732120653429035e-06 0.16852471232116548 -0.032010708554513836 1.2773216661233265e-08 0.16445163726542492 -0.07456657276766732 -5.147983060087242e-08 
-1.0078274899970487 -3.072408542656694 -1.0615034062971478e-06 -0.5232373087867057 -2.6846282078551678 -1.0615034062971478e-06 0.1721546922731994 -0.025103845528972796 2.1892627531043114e-08 0.1644476564263443 -0.06807271675434194 -6.161898698809314e-08 
-0.8899788407574429 -3.0870248019947373 -1.0434120952568917e-06 -0.41199300037948416 -2.7285741558092838 -1.0434120952568917e-06 0.1757843644185289 -0.018018743450937152 3.162979223232969e-08 0.1638991509369012 -0.06169558621852751 -7.21695710284375e-08 
-0.7696647407455444 -3.0967779240154103 -1.018490701049232e-06 -0.3013091149868414 -2.7682481235560634 -1.018490701049232e-06 0.1794388589961681 -0.010743592236238666 4.207627424671881e-08 0.16278928978075582 -0.055465217638432256 -8.321986456511678e-08 
-0.6468561567896153 -3.101534008883981 -9.86215594398715e-07 -0.19157537332342447 -2.8037602231151304 -9.86215594398715e-07 0.1831571036406326 -0.003262358720752733 5.336847299156615e-08 0.16108724519862855 -0.04941362935198232 -9.490584838590205e-08 
-0.5214908054162737 -3.1011464745773933 -9.459492844041771e-07 -0.08320944786378431 -2.8352433774097703 -9.459492844041771e-07 0.18700013854862066 0.004446671374452747 6.571119024499647e-08 0.15873945263507153 -0.04357649758574906 -1.0743484661784762e-07 
-0.3934536288042277 -3.0954514718218054 -8.968815030497004e-07 0.023322956575700136 -2.862856630910901 -8.968815030497004e-07 0.19106606964124967 0.012413262264502059 7.941880125083749e-08 0.1556542695817954 -0.03799582190265608 -1.2112678680837795e-07 
